indice_sueno_salud_mental,indice_actividad_corporal,indice_habitos_alimentacion,indice_contexto_socioambiental,indice_carga_clinica,valor_real,valor_predicho,residuo
-28.49860724889768,-25.96904354692405,-1.6093762403525331,-16.97948008971029,-12.0,16.011582674216065,15.005881404677552,1.0057012695385126
-14.066758032036027,-3.205712785059176,-9.630515085309302,-12.818959104683298,-0.0,60.19165674785011,60.244254620235424,-0.05259787238531288
-13.3109026671272,-15.046425599168623,-5.103529517595161,-14.989176743235266,-0.0,52.52414317790098,51.54418048340617,0.9799626944948088
-11.533531086196769,-12.380653132202276,-1.2184427723133588,-14.547948258483055,-0.0,55.459792375750965,60.33865501396212,-4.878862638211153
-12.77681765831284,-12.905349136530017,-11.08568475066966,-13.359439631709442,-0.0,51.170403242460864,49.81839620733993,1.3520070351209341
-13.495720013826215,-8.880236783474675,-4.217608832886799,-11.736863365271743,-0.0,67.07251833035718,61.657549846627944,5.41496848372924
-5.50762256263549,-4.482625866564883,-5.463845464906428,-13.08259721795908,-0.0,72.70106984599946,71.44822755382447,1.2528422921749893
-15.312090455038524,-23.77185907087804,-11.988008279830224,-14.61103872736612,-0.0,37.352977491695526,34.25310322296836,3.099874268727163
-5.655019901265103,1.839252986683606,-1.5955183827531845,-14.444045339776313,-0.0,80.64660646170474,80.17273080807522,0.4738756536295199
-18.0,-14.166739076212284,-2.3519900424545503,-12.889805582629876,-0.0,48.492677053603046,52.59741161382892,-4.104734560225872
-15.19698912660871,-18.791949418638623,-7.633360770236202,-17.3814454617005,-0.0,42.44986055091771,40.985616871803934,1.4642436791137783
-17.41864225482856,-33.13954543412137,-9.255088253132293,-16.438228034517874,-15.0,10.002283235781167,8.741519068630382,1.2607641671507857
-29.0,-39.49675234689264,-9.974165420686491,-18.417124337633016,-27.0,-23.433454664346755,-23.85345653167029,0.42000186732353484
-25.0559867079007,-28.18300027557406,-5.3104133177543975,-17.398630342485877,-27.0,-5.064842508943929,-2.8779184816823147,-2.1869240272616146
-16.54446820064711,-24.47537070136095,-6.168956848801071,-14.570861715104511,-0.0,36.9588812394487,38.216001272806075,-1.2571200333573742
-16.228441765982183,-30.48247451333465,-6.866230357809361,-20.702092316624928,-0.0,21.227385535501405,25.722115720734465,-4.49473018523306
-13.16182644278411,-38.522004542113,-7.658919818024882,-15.689971417710858,-27.0,-9.963042292631362,-2.015881342900002,-7.9471609497313604
-14.726207915132916,-14.88292895342854,-8.417342649468178,-15.916947759219392,-0.0,46.88003306429472,46.03598739409035,0.8440456702043733
-12.22531457818708,-9.474000963887416,-6.257307674978939,-15.510436828820186,-0.0,57.81766608220536,56.52869408163734,1.2889720005680232
-10.159904428733586,-3.579798466053936,-9.607424085119073,-9.024005741594618,-0.0,66.32230514338885,67.56652849461892,-1.244223351230076
